"행정구역별","산업별",2024.1/2,2024.1/2,2024.2/2,2024.2/2
"부산 금정구","도소매·숙박음식업(G,I)",24,-,23,-
"부산 금정구","전기·운수·통신·금융(D,H,J,K)",12,-,12,-
"부산 금정구","사업·개인·공공서비스 및 기타(E,L~U)",48,-,49,-
"부산 강서구","계",80,-,83,-
"부산 강서구","농업, 임업 및 어업 (A)",5,*,5,*
"부산 강서구","광·제조업(B,C)",22,-,23,-
"부산 강서구","건설업 (F) ",3,-,3,-
"부산 강서구","도소매·숙박음식업(G,I)",15,-,15,-
"부산 강서구","전기·운수·통신·금융(D,H,J,K)",9,-,10,-
"부산 강서구","사업·개인·공공서비스 및 기타(E,L~U)",26,-,27,-
"부산 연제구","계",104,-,107,-
"부산 연제구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 연제구","광·제조업(B,C)",11,-,10,-
"부산 연제구","건설업 (F) ",8,-,7,-
"부산 연제구","도소매·숙박음식업(G,I)",22,-,23,-
"부산 연제구","전기·운수·통신·금융(D,H,J,K)",16,-,16,-
"부산 연제구","사업·개인·공공서비스 및 기타(E,L~U)",47,-,50,-
"부산 수영구","계",86,-,83,-
"부산 수영구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 수영구","광·제조업(B,C)",6,-,6,-
"부산 수영구","건설업 (F) ",5,-,4,-
"부산 수영구","도소매·숙박음식업(G,I)",23,-,20,-
"부산 수영구","전기·운수·통신·금융(D,H,J,K)",11,-,12,-
"부산 수영구","사업·개인·공공서비스 및 기타(E,L~U)",40,-,40,-
"부산 사상구","계",107,-,105,-
"부산 사상구","농업, 임업 및 어업 (A)",1,*,0,*
"부산 사상구","광·제조업(B,C)",27,-,27,-
"부산 사상구","건설업 (F) ",8,-,8,-
"부산 사상구","도소매·숙박음식업(G,I)",22,-,21,-
"부산 사상구","전기·운수·통신·금융(D,H,J,K)",11,-,11,-
"부산 사상구","사업·개인·공공서비스 및 기타(E,L~U)",38,-,38,-
"부산 기장군","계",89,-,86,-
"부산 기장군","농업, 임업 및 어업 (A)",5,*,4,*
"부산 기장군","광·제조업(B,C)",14,-,14,-
"부산 기장군","건설업 (F) ",8,-,7,-
"부산 기장군","도소매·숙박음식업(G,I)",15,-,14,-
"부산 기장군","전기·운수·통신·금융(D,H,J,K)",12,-,12,-
"부산 기장군","사업·개인·공공서비스 및 기타(E,L~U)",35,-,35,-
"대구 중구","계",46,-,48,-
"대구 중구","농업, 임업 및 어업 (A)",0,*,0,*
"대구 중구","광·제조업(B,C)",5,-,5,-
"대구 중구","건설업 (F) ",3,-,3,-
"대구 중구","도소매·숙박음식업(G,I)",12,-,12,-
"대구 중구","전기·운수·통신·금융(D,H,J,K)",5,-,5,-
"대구 중구","사업·개인·공공서비스 및 기타(E,L~U)",21,-,22,-
"대구 동구","계",162,-,163,-
"대구 동구","농업, 임업 및 어업 (A)",5,*,5,*
"대구 동구","광·제조업(B,C)",21,-,20,-
"대구 동구","건설업 (F) ",14,-,15,-
"대구 동구","도소매·숙박음식업(G,I)",32,-,31,-
"대구 동구","전기·운수·통신·금융(D,H,J,K)",18,-,20,-
"대구 동구","사업·개인·공공서비스 및 기타(E,L~U)",73,-,74,-
"대구 서구","계",79,-,79,-
"대구 서구","농업, 임업 및 어업 (A)",1,*,0,*
"대구 서구","광·제조업(B,C)",17,-,17,-
"대구 서구","건설업 (F) ",8,-,8,-
"대구 서구","도소매·숙박음식업(G,I)",19,-,19,-
"대구 서구","전기·운수·통신·금융(D,H,J,K)",7,-,7,-
"대구 서구","사업·개인·공공서비스 및 기타(E,L~U)",27,-,28,-
"대구 남구","계",68,-,68,-
"대구 남구","농업, 임업 및 어업 (A)",0,*,0,*
"대구 남구","광·제조업(B,C)",8,-,8,-
"대구 남구","건설업 (F) ",6,-,6,-
"대구 남구","도소매·숙박음식업(G,I)",15,-,14,-
"대구 남구","전기·운수·통신·금융(D,H,J,K)",6,-,6,-
"대구 남구","사업·개인·공공서비스 및 기타(E,L~U)",33,-,33,-
"대구 북구","계",215,-,214,-
"대구 북구","농업, 임업 및 어업 (A)",2,*,2,*
"대구 북구","광·제조업(B,C)",40,-,36,-
"대구 북구","건설업 (F) ",17,-,18,-
"대구 북구","도소매·숙박음식업(G,I)",49,-,48,-
"대구 북구","전기·운수·통신·금융(D,H,J,K)",23,-,24,-
"대구 북구","사업·개인·공공서비스 및 기타(E,L~U)",83,-,85,-
"대구 수성구","계",181,-,183,-
"대구 수성구","농업, 임업 및 어업 (A)",2,*,2,*
"대구 수성구","광·제조업(B,C)",18,-,17,-
"대구 수성구","건설업 (F) ",12,-,13,-
"대구 수성구","도소매·숙박음식업(G,I)",34,-,33,-
"대구 수성구","전기·운수·통신·금융(D,H,J,K)",20,-,21,-
"대구 수성구","사업·개인·공공서비스 및 기타(E,L~U)",96,-,98,-
"대구 달서구","계",268,-,271,-
"대구 달서구","농업, 임업 및 어업 (A)",0,*,1,*
"대구 달서구","광·제조업(B,C)",63,-,64,-
"대구 달서구","건설업 (F) ",21,-,19,-
"대구 달서구","도소매·숙박음식업(G,I)",51,-,50,-
"대구 달서구","전기·운수·통신·금융(D,H,J,K)",30,-,30,-
"대구 달서구","사업·개인·공공서비스 및 기타(E,L~U)",103,-,107,-
"대구 달성군","계",137,-,138,-
"대구 달성군","농업, 임업 및 어업 (A)",7,*,6,*
"대구 달성군","광·제조업(B,C)",42,-,42,-
